,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,k_line,d_line,so_20,so_80,macd_ema_fast,macd_ema_slow,macd_base,macd_signal,macd_hist,macd_color,bohlinger_upper,bohlinger_lower,ema_switch,so_switch,macd_switch
2021-09-11 16:11:10+02:00,45577.555,0,45578.03828125,45581.6609375,45578.14116556238,45579.88782230358,0.048520135856380396,0.016173378618793467,20,80,45580.10356309985,45579.7426025882,-0.3609605116507737,0.7475296650073747,-1.1084901766581483,red,45584.73122854318,45578.59064645681,0,1,0
2021-09-11 16:11:12+02:00,45568.67,0,45575.77578125,45580.940234375,45574.98473537492,45578.28554379372,0.0,0.016173378618793467,20,80,45579.256771388755,45578.03941372848,-1.2173576602726826,0.3545521999513632,-1.5719098602240458,red,45583.5343144673,45578.34615428269,0,0,0
2021-09-11 16:11:14+02:00,45558.137,0,45571.89296875,45579.696484375,45569.36872983328,45575.4071397177,0.0,0.016173378618793467,20,80,45577.69232304514,45574.97746065487,-2.7148623902758118,-0.25933071809407177,-2.45553167218174,red,45582.46811436121,45576.924854388795,0,0,0
2021-09-11 16:11:16+02:00,45566.93,0,45569.76875,45578.894140625,45568.555715722185,45574.196074935455,32.01536054615275,10.671786848717582,20,80,45576.89509078254,45573.739341707966,-3.155749074576306,-0.8386143893905187,-2.3171346851857875,red,45582.19122308153,45575.597058168474,0,1,0
2021-09-11 16:11:18+02:00,45565.21,0,45567.30078125,45578.190234375,45567.44078964812,45572.91248370998,27.14735421975716,19.72090492196997,20,80,45576.0295979468,45572.427279522126,-3.6023184246732853,-1.391355196447072,-2.2109632282262135,red,45582.105063886906,45574.27540486309,0,0,0
2021-09-11 16:11:20+02:00,45563.664,0,45564.52265625,45577.2099609375,45566.18188059875,45571.59128053594,22.22396733155332,27.12889403248774,20,80,45575.11363235815,45571.07909228795,-4.034540070199,-1.9199921711974577,-2.1145478990015425,red,45581.82733199537,45572.59258987963,0,0,0
2021-09-11 16:11:22+02:00,45554.664,0,45561.72109375,45575.7796875,45562.34260789916,45569.17310630482,0.0,16.45710718377016,20,80,45573.598849405695,45568.55370308981,-5.045146315882448,-2.5450230001344556,-2.5001233157479925,red,45581.243485623105,45570.31588937689,0,0,0
2021-09-11 16:11:24+02:00,45546.977,0,45559.4890625,45573.8490234375,45557.220592766105,45566.00217122156,0.0,7.407989110517774,20,80,45571.62682815342,45565.23414299907,-6.3926851543510566,-3.314555430977776,-3.0781297233732805,red,45580.349655444916,45567.34839143008,0,0,0
2021-09-11 16:11:26+02:00,45548.0,0,45555.703125,45571.9689453125,45554.147061844065,45563.43043229906,3.100591715976331,1.0335305719921104,20,80,45569.87669273465,45562.58273638383,-7.293956350818917,-4.110435614946004,-3.1835207358729125,red,45579.597081572545,45564.34080905246,0,1,0
2021-09-11 16:11:28+02:00,45547.99,0,45552.25859375,45570.088671875,45552.09413497938,45561.224410590796,3.06508875739645,2.0552268244575935,20,80,45568.255328920975,45560.33743559401,-7.917893326964986,-4.8719271573498,-3.045966169615186,red,45578.92296236384,45561.254381386156,0,1,0
2021-09-11 16:11:30+02:00,45546.133,0,45548.75234375,45568.115234375,45550.10702748626,45559.06846789765,0.0,2.0552268244575935,20,80,45566.6166240009,45558.15210896417,-8.464515036728699,-5.5904447332255796,-2.874070303503119,red,45578.20846405047,45558.02200469953,0,0,0
2021-09-11 16:11:32+02:00,45544.28,0,45546.67578125,45566.11953125,45548.165101657505,45556.956008106645,0.0,1.0216962524654833,20,80,45564.962151852684,45556.018130661985,-8.94402119069855,-6.261160024720175,-2.682861165978375,red,45577.49637221859,45554.742690281404,0,0,0
2021-09-11 16:11:34+02:00,45541.96,0,45545.67265625,45564.0671875,45546.09704693834,45554.813855083456,0.0,0.0,20,80,45563.25835819693,45553.85548556014,-9.402872636790562,-6.889502547134253,-2.513370089656309,red,45576.73640369619,45551.397971303806,0,0,0
2021-09-11 16:11:36+02:00,45539.273,0,45543.92734375,45562.046484375,45543.8225104589,45552.59379535816,0.0,0.0,20,80,45561.48169740457,45551.61209355089,-9.869603853680019,-7.485522808443406,-2.384081045236613,red,45576.0079351558,45548.0850335942,0,0,0
2021-09-11 16:11:38+02:00,45536.484,0,45541.6265625,45559.8712890625,45541.37646530594,45550.29244953005,0.0,0.0,20,80,45559.630043893114,45549.28475223537,-10.345291657744383,-8.057476578303602,-2.287815079440781,red,45575.140064864245,45544.60251326076,0,0,0
